date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"4/15/12","Chicago Fire","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",24,"Will Bruin","Brian Ching","",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Montreal Impact","Montreal Impact","FALSE",21,"Davy Arnaud","Jeb Brovsky","Justin Mapp",0,0
"9/2/12","Chicago Fire","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",90,"Brian Ching","Brad Davis","",0,0
"8/10/12","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",61,"Markus Holgersson","Roy Miller","Tim Cahill",0,0
"10/27/12","Colorado Rapids","Houston Dynamo","Colorado Rapids","Colorado Rapids","FALSE",76,"Andre Akpan","","",0,0
"9/2/12","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",19,"Daniel Paladini","","",0,0
"6/10/12","Vancouver Whitecaps","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",83,"Macoumba Kandji","Brian Ownby","",0,0
"3/23/12","Seattle Sounders","Houston Dynamo","Seattle Sounders","Seattle Sounders","FALSE",23,"David Estrada","","",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Montreal Impact","Montreal Impact","FALSE",4,"Sanna Nyassi","Patrice Bernier","Felipe Martins",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",45,"Will Bruin","Brian Ching","",0,0
"5/19/12","New England Revolution","Houston Dynamo","New England Revolution","New England Revolution","FALSE",26,"Saer Sene","","",0,0
"4/21/12","Columbus Crew","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",81,"Brian Ching","Will Bruin","",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Montreal Impact","Montreal Impact","FALSE",67,"Patrice Bernier","","",0,0
"4/28/12","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",70,"Maicon Santos","Dwayne De Rosario","Daniel Woolard",0,0
"4/15/12","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",27,"Logan Pause","Píçvel Pardo","",0,0
"9/23/12","Philadelphia Union","Houston Dynamo","Philadelphia Union","Philadelphia Union","FALSE",28,"Freddy Adu","","",0,0
"4/21/12","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",74,"Eddie Gaven","Nemanja Vukovic","Aaron Schoenfeld",0,0
"5/19/12","New England Revolution","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",87,"Luiz Camargo","Brian Ching","",0,0
"4/28/12","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",11,"Maicon Santos","Brandon McDonald","Chris Pontius",0,0
"5/19/12","New England Revolution","Houston Dynamo","New England Revolution","New England Revolution","FALSE",57,"Saer Sene","","",0,0
"5/19/12","New England Revolution","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",32,"Will Bruin","Brad Davis","",0,0
"6/10/12","Vancouver Whitecaps","Houston Dynamo","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",4,"Darren Mattocks","John Thorrington","Lee Young-Pyo",0,0
"6/10/12","Vancouver Whitecaps","Houston Dynamo","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",88,"Jordan Harvey","","",0,0
"9/2/12","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",1,"Patrick Nyarko","","",0,0
"9/23/12","Philadelphia Union","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",44,"Boniek Garcia","Kofi Sarkodie","Will Bruin",0,0
"9/14/12","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",93,"C.J. Sapong","Graham Zusi","",0,0
